team,manager,date_from,date_to,status
Real Madrid,Zinedine Zidane,2016-01-04,2018-05-31,resigned
Real Madrid,Julen Lopetegui,2018-06-12,2018-10-29,sacked
Real Madrid,Santiago Solari,2018-10-30,2019-03-11,sacked
Real Madrid,Zinedine Zidane,2019-03-11,2021-05-27,resigned
Real Madrid,Carlo Ancelotti,2021-06-01,2025-05-25,departed
Real Madrid,Xabi Alonso,2025-06-01,2026-01-12,mutual
Real Madrid,Álvaro Arbeloa,2026-01-12,,current
Barcelona,Ernesto Valverde,2017-05-29,2020-01-13,sacked
Barcelona,Quique Setién,2020-01-13,2020-08-17,sacked
Barcelona,Ronald Koeman,2020-08-19,2021-10-27,sacked
Barcelona,Xavi Hernández,2021-11-05,2024-05-26,sacked
Barcelona,Hansi Flick,2024-05-29,,current
Atletico Madrid,Diego Simeone,2011-12-23,,current
Real Betis,Quique Setién,2017-01-09,2019-05-19,mutual
Real Betis,Rubi,2019-06-06,2020-06-21,departed
Real Betis,Alexis Trujillo,2020-06-21,2020-07-09,caretaker_end
Real Betis,Manuel Pellegrini,2020-07-09,,current
Real Sociedad,Imanol Alguacil,2018-03-01,2018-06-30,caretaker_end
Real Sociedad,Asier Garitano,2018-07-01,2018-12-26,sacked
Real Sociedad,Imanol Alguacil,2018-12-26,2025-06-30,end_of_contract
Real Sociedad,Sergio Francisco,2025-07-01,2025-12-14,sacked
Real Sociedad,Ion Ansotegi,2025-12-14,2025-12-20,caretaker_end
Real Sociedad,Pellegrino Matarazzo,2025-12-20,,current
Real Valladolid,Sergio González,2018-07-01,2021-05-22,departed
Real Valladolid,Pacheta,2022-07-01,2023-04-03,departed
Real Valladolid,Paulo Pezzolano,2023-04-04,2024-11-30,departed
Real Valladolid,Álvaro Rubio,2024-12-02,2024-12-14,caretaker_end
Real Valladolid,Diego Cocca,2024-12-14,2025-02-17,departed
Real Valladolid,Álvaro Rubio,2025-02-19,2025-06-30,caretaker_end
SD Huesca,Leo Franco,2018-05-28,2018-10-09,sacked
SD Huesca,Francisco Rodríguez,2018-10-10,2019-06-30,departed
SD Huesca,Míchel Sánchez,2020-07-01,2021-01-12,departed
SD Huesca,Pacheta,2021-01-12,2021-06-30,departed
Sevilla,Joaquín Caparrós,2018-01-01,2018-05-28,caretaker_end
Sevilla,Pablo Machín,2018-05-28,2019-03-15,sacked
Sevilla,Joaquín Caparrós,2019-03-15,2019-05-23,end_of_contract
