season,tm_name,team,squad_value_eur,squad_value_m
2018,FC Barcelona,Barcelona,1160000000.0,1160.0
2018,Atlético de Madrid,Atletico Madrid,969700000.0,969.7
2018,Real Madrid,Real Madrid,896100000.0,896.1
2018,Valencia CF,Valencia,499650000.0,499.65
2018,Sevilla FC,Sevilla,306300000.0,306.3
2018,Real Sociedad,Real Sociedad,300950000.0,300.95
2018,Real Betis Balompié,Real Betis Balompié,290750000.0,290.75
2018,Athletic Bilbao,Athletic Club,234250000.0,234.25
2018,Celta de Vigo,Celta Vigo,234100000.0,234.1
2018,Villarreal CF,Villarreal,230650000.0,230.65
2018,RCD Espanyol Barcelona,RCD Espanyol Barcelona,174700000.0,174.7
2018,Getafe CF,Getafe,132199999.99999999,132.2
2018,CD Leganés,CD Leganés,112450000.0,112.45
2018,Deportivo Alavés,Alaves,110800000.0,110.8
2018,Levante UD,Levante,107850000.0,107.85
2018,Girona FC,Girona,97250000.0,97.25
2018,SD Eibar,Eibar,93900000.0,93.9
2018,Rayo Vallecano,Rayo Vallecano,86700000.0,86.7
2018,Real Valladolid CF,Real Valladolid CF,83000000.0,83.0
2018,SD Huesca,SD Huesca,61400000.0,61.4
2019,FC Barcelona,Barcelona,930280000.0,930.28
2019,Real Madrid,Real Madrid,913750000.0,913.75
2019,Atlético de Madrid,Atletico Madrid,720150000.0,720.15
2019,Valencia CF,Valencia,427800000.0,427.8
2019,Real Sociedad,Real Sociedad,347550000.0,347.55
2019,Sevilla FC,Sevilla,294750000.0,294.75
2019,Real Betis Balompié,Real Betis Balompié,244350000.0,244.35
2019,Athletic Bilbao,Athletic Club,211750000.0,211.75
2019,Villarreal CF,Villarreal,208680000.0,208.68
2019,Getafe CF,Getafe,175450000.0,175.45
2019,Celta de Vigo,Celta Vigo,167000000.0,167.0
2019,RCD Espanyol Barcelona,RCD Espanyol Barcelona,156050000.0,156.05
2019,CD Leganés,CD Leganés,109700000.0,109.7
2019,Deportivo Alavés,Alaves,106750000.0,106.75
2019,Levante UD,Levante,90500000.0,90.5
2019,Real Valladolid CF,Real Valladolid CF,87780000.0,87.78
2019,RCD Mallorca,Mallorca,64680000.00000001,64.68
2019,CA Osasuna,CA Osasuna,62780000.0,62.78
2019,Granada CF,Granada,56580000.0,56.58
2019,SD Eibar,Eibar,53750000.0,53.75
2020,FC Barcelona,Barcelona,813500000.0,813.5
2020,Real Madrid,Real Madrid,787300000.0,787.3
2020,Atlético de Madrid,Atletico Madrid,773100000.0,773.1
2020,Sevilla FC,Sevilla,418250000.0,418.25
2020,Real Sociedad,Real Sociedad,406600000.0,406.6
2020,Villarreal CF,Villarreal,292600000.0,292.6
2020,Valencia CF,Valencia,278850000.0,278.85
2020,Real Betis Balompié,Real Betis Balompié,207700000.0,207.7
2020,Athletic Bilbao,Athletic Club,204150000.0,204.15
2020,Getafe CF,Getafe,170100000.0,170.1
2020,Celta de Vigo,Celta Vigo,155850000.0,155.85
2020,Granada CF,Granada,122650000.0,122.65
2020,Levante UD,Levante,113000000.0,113.0
2020,CA Osasuna,CA Osasuna,96750000.0,96.75
2020,SD Eibar,Eibar,83400000.0,83.4
2020,Deportivo Alavés,Alaves,79800000.0,79.8
2020,SD Huesca,SD Huesca,64099999.99999999,64.1
2020,Real Valladolid CF,Real Valladolid CF,63350000.0,63.35
2020,Cádiz CF,Cadiz,47650000.0,47.65
2020,Elche CF,Elche,45650000.0,45.65
2021,Real Madrid,Real Madrid,770750000.0,770.75
2021,FC Barcelona,Barcelona,735600000.0,735.6
2021,Atlético de Madrid,Atletico Madrid,661800000.0,661.8
2021,Villarreal CF,Villarreal,408900000.0,408.9
2021,Sevilla FC,Sevilla,385000000.0,385.0
2021,Real Sociedad,Real Sociedad,376950000.0,376.95
2021,Valencia CF,Valencia,310600000.0,310.6
2021,Real Betis Balompié,Real Betis Balompié,259000000.0,259.0
2021,Athletic Bilbao,Athletic Club,226050000.0,226.05
2021,Getafe CF,Getafe,208680000.0,208.68
2021,RCD Espanyol Barcelona,RCD Espanyol Barcelona,131600000.0,131.6
