season,team,wage_m
2018,Barcelona,302.12
2018,Real Madrid,238.59
2018,Atletico Madrid,195.59
2018,Sevilla,70.22
2018,Valencia,66.84
2018,Athletic Club,49.22
2018,Villarreal,41.03
2018,Real Sociedad,36.54
2018,Celta Vigo,34.35
2018,Leganes,32.29
2018,Real Betis,29.36
2018,Espanyol,27.89
2018,Girona,23.88
2018,Alaves,20.26
2018,Rayo Vallecano,17.36
2018,Getafe,17.32
2018,Eibar,16.71
2018,Levante,16.7
2018,Real Valladolid,13.21
2018,SD Huesca,12.2
2019,Barcelona,355.12
2019,Real Madrid,345.12
2019,Atletico Madrid,166.52
2019,Valencia,75.36
2019,Sevilla,65.63
2019,Athletic Club,57.04
2019,Villarreal,47.22
2019,Real Sociedad,39.74
2019,Real Betis,34.57
2019,Espanyol,32.59
2019,Celta Vigo,31.11
2019,Getafe,23.83
2019,Leganes,23.16
2019,Eibar,18.82
2019,Alaves,18.67
2019,Levante,18.38
2019,Granada,15.79
2019,Osasuna,12.81
2019,Real Valladolid,12.2
2019,Mallorca,11.21
2020,Barcelona,326.56
2020,Real Madrid,293.4
2020,Atletico Madrid,169.32
2020,Sevilla,70.14
2020,Valencia,66.31
2020,Athletic Club,64.9
2020,Villarreal,64.5
2020,Real Sociedad,44.13
2020,Real Betis,37.95
2020,Celta Vigo,35.95
2020,Granada,25.46
2020,Real Valladolid,23.21
2020,Alaves,23.1
2020,Getafe,22.18
2020,Osasuna,17.46
2020,SD Huesca,16.84
2020,Eibar,16.66
2020,Levante,16.33
2020,Cadiz,14.36
2020,Elche,11.385
2021,Real Madrid,340.75
2021,Barcelona,227.855
2021,Atletico Madrid,186.69
2021,Sevilla,75.1
2021,Villarreal,69.33
2021,Athletic Club,62.53
2021,Valencia,51.69
2021,Real Sociedad,48.61
2021,Real Betis,47.33
2021,Celta Vigo,34.36
2021,Getafe,33.725
2021,Espanyol,29.77
2021,Granada,23.75
2021,Alaves,20.84
2021,Mallorca,19.24
2021,Levante,18.09
2021,Cadiz,17.35
2021,Elche,15.835
2021,Osasuna,15.345
2021,Rayo Vallecano,10.645
2022,Real Madrid,305.33
2022,Barcelona,227.84
2022,Atletico Madrid,170.73
2022,Sevilla,74.585
2022,Athletic Club,60.385
2022,Real Sociedad,53.73
2022,Villarreal,49.685
2022,Valencia,47.57
2022,Real Betis,47.16
2022,Getafe,42.125
2022,Espanyol,26.21
2022,Celta Vigo,25.68
2022,Mallorca,23.175
2022,Girona,22.4175
2022,Real Valladolid,20.745
2022,Osasuna,19.995
2022,Cadiz,19.565
2022,Elche,18.78
2022,Rayo Vallecano,17.95
2022,Almeria,13.995
2023,Real Madrid,301.6
2023,Barcelona,201.01
2023,Atletico Madrid,159.595
2023,Sevilla,79.105
2023,Athletic Club,70.24
2023,Real Sociedad,68.535
2023,Villarreal,57.98
2023,Real Betis,52.32
2023,Getafe,34.105
2023,Girona,33.15
2023,Celta Vigo,32.65
2023,Valencia,31.58
2023,Cadiz,28.83
2023,Mallorca,26.04
2023,Rayo Vallecano,25.89
2023,Granada,22.97
2023,Osasuna,20.71
2023,Almeria,18.5
2023,Las Palmas,17.5
2023,Alaves,16.88
2024,Real Madrid,287.55
2024,Barcelona,220.23
2024,Atletico Madrid,150.35
2024,Athletic Club,70.685
2024,Sevilla,66.83
2024,Real Betis,59.35
2024,Real Sociedad,56.54
2024,Villarreal,49.94
2024,Girona,45.8
2024,Valencia,38.62
2024,Getafe,35.71
2024,Celta Vigo,34.74
2024,Rayo Vallecano,31.37
2024,Osasuna,31.045
2024,Mallorca,30.32
2024,Las Palmas,26.53
2024,Espanyol,25.77
2024,Real Valladolid,23.685
2024,Alaves,23.365
2024,Leganes,15.45
2025,Real Madrid,307.93
2025,Barcelona,234.77
2025,Atletico Madrid,161.55
2025,Athletic Club,85.11
2025,Real Betis,78.58
2025,Real Sociedad,68.55
2025,Villarreal,67.11
2025,Sevilla,65.45
2025,Valencia,52.65
2025,Girona,47.79
2025,Getafe,38.24
2025,Celta Vigo,37.92
2025,Mallorca,35.66
2025,Rayo Vallecano,33.53
2025,Osasuna,33.23
2025,Elche,28.55
2025,Real Oviedo,28.13
2025,Espanyol,26.71
2025,Alaves,26.05
2025,Levante,25.68
